step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,1,0
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1,0
1,TRANSFER,235238.66,C1872047468,235238.66,0.0,C116289363,0.0,0.0,1,0
1,CASH_OUT,386683.04,C1373577787,0.0,0.0,C33524623,1352623.44,1517262.16,0,0
1,PAYMENT,24174.02,C628164202,73477.41,49303.38,M1962826086,0.0,0.0,0,0
1,DEBIT,2869.65,C1556520190,8768.0,5898.35,C1664439369,15485.0,5484.37,0,0
1,CASH_IN,215511.92,C281049997,253362.28,468874.2,C1850180796,1271509.17,1187114.17,0,0
1,CASH_IN,155075.41,C1434066477,6356409.58,6511484.99,C1971489295,1035098.36,0.0,0,0
1,CASH_OUT,166817.98,C1990421361,0.0,0.0,C1971489295,721630.0,0.0,0,0
1,CASH_OUT,132842.64,C13692003,4499.08,0.0,C297927961,0.0,132842.64,1,0
1,CASH_OUT,25071.46,C1275464847,25071.46,0.0,C1364913072,9083.76,34155.22,1,0
1,TRANSFER,25071.46,C669700766,25071.46,0.0,C1384210339,0.0,0.0,1,0
1,CASH_OUT,35063.63,C1635772897,35063.63,0.0,C1983025922,31140.0,7550.03,1,0
1,TRANSFER,35063.63,C1364127192,35063.63,0.0,C1136419747,0.0,0.0,1,0
1,CASH_IN,7322.98,C913242382,6681389.66,6688712.64,C146305349,64966.0,57643.02,0,0
1,CASH_IN,104605.78,C1920305914,4968145.5,5072751.28,C357863579,207302.14,92307.65,0,0
1,TRANSFER,2806.0,C1420196421,2806.0,0.0,C972765878,0.0,0.0,1,0
1,CASH_OUT,153596.45,C979532928,711133.71,557537.26,C1360767589,1954368.93,2107965.39,0,0
1,PAYMENT,1449.03,C1166230227,80983.0,79533.97,M365056339,0.0,0.0,0,0
1,DEBIT,1260.62,C636959006,1483.0,222.38,C1686100174,10086.0,9837.06,0,0
1,PAYMENT,4564.51,C1464652578,0.0,0.0,M1170399398,0.0,0.0,0,0
1,TRANSFER,1277212.77,C1334405552,1277212.77,0.0,C431687661,0.0,0.0,1,0
1,CASH_OUT,416001.33,C749981943,0.0,0.0,C667346055,102.0,9291619.62,1,0
1,CASH_OUT,1277212.77,C467632528,1277212.77,0.0,C716083600,0.0,2444985.19,1,0
1,CASH_IN,55091.05,C1754087707,1736504.51,1791595.57,C1831477404,247063.16,224705.73,0,0
1,PAYMENT,4043.76,C1538511917,54064.37,50020.61,M1542856295,0.0,0.0,0,0
1,PAYMENT,1730.16,C1848163207,0.0,0.0,M435175610,0.0,0.0,0,0
1,PAYMENT,2444.49,C1002041276,31454.0,29009.51,M485475507,0.0,0.0,0,0
1,CASH_IN,236747.6,C1747053097,7622040.12,7858787.73,C757108857,390963.21,0.0,0,0
1,PAYMENT,5809.78,C532677950,99884.0,94074.22,M688593710,0.0,0.0,0,0
1,PAYMENT,911.27,C1095203437,25688.81,24777.54,M45880026,0.0,0.0,0,0
1,PAYMENT,1157.86,C1237762639,21156.0,19998.14,M1877062907,0.0,0.0,0,0
1,PAYMENT,1285.77,C757541645,0.0,0.0,M925364462,0.0,0.0,0,0
1,CASH_IN,156316.71,C1647303553,3642611.66,3798928.38,C1859965144,269880.0,0.0,0,0
1,PAYMENT,2599.46,C885910946,874042.26,871442.79,M1860591867,0.0,0.0,0,0
1,PAYMENT,12960.72,C1809129176,0.0,0.0,M1642308093,0.0,0.0,0,0
1,CASH_IN,206097.65,C2031377754,7320347.28,7526444.93,C564160838,1239101.5,1254956.07,0,0
1,DEBIT,5581.55,C997695567,530.0,0.0,C1282788025,55058.57,0.0,0,0
1,PAYMENT,8494.71,C1099552523,11129.0,2634.29,M66724371,0.0,0.0,0,0
1,PAYMENT,9839.64,C1231006815,170136.0,160296.36,M1979787155,0.0,0.0,0,0
1,CASH_OUT,45756.23,C1042891691,0.0,0.0,C392292416,1393202.52,3420103.09,0,0
1,PAYMENT,4111.34,C500885941,128052.0,123940.66,M1115381650,0.0,0.0,0,0
1,PAYMENT,413.84,C85357160,26512.93,26099.09,M486348917,0.0,0.0,0,0
1,CASH_OUT,20128.0,C1118430673,20128.0,0.0,C339924917,6268.0,12145.85,1,0
1,PAYMENT,4029.56,C2115087165,106681.0,102651.44,M1604616170,0.0,0.0,0,0
1,CASH_OUT,131991.26,C1396385390,0.0,0.0,C1971489295,1145221.51,0.0,0,0
1,PAYMENT,106.81,C1810518740,0.0,0.0,M295180183,0.0,0.0,0,0
1,PAYMENT,1006.76,C2054451662,696008.0,695001.24,M673672784,0.0,0.0,0,0
1,PAYMENT,4059.25,C200404000,4186.0,126.75,M1894758168,0.0,0.0,0,0
1,TRANSFER,17488.56,C1272744797,14180.0,0.0,C1498438472,182385.22,199873.79,0,0
1,PAYMENT,13259.12,C1091781053,581420.54,568161.42,M1280128554,0.0,0.0,0,0
1,DEBIT,8607.73,C271614685,69674.0,61066.27,C681979935,334656.69,176131.8,0,0
1,PAYMENT,27.55,C1688770224,6861.14,6833.58,M235162442,0.0,0.0,0,0
1,PAYMENT,6831.38,C810196347,1088.0,0.0,M1811787796,0.0,0.0,0,0
1,PAYMENT,4522.66,C99132505,765296.0,760773.34,M1137989065,0.0,0.0,0,0
1,PAYMENT,4881.52,C94748968,0.0,0.0,M1944815218,0.0,0.0,0,0
1,TRANSFER,928722.69,C1563053805,0.0,0.0,C985934102,1259119.8,971418.91,0,0
1,PAYMENT,2453.34,C1340086277,35411.0,32957.66,M1427247001,0.0,0.0,0,0
1,CASH_IN,126950.91,C356005505,1997212.32,2124163.23,C22805895,1091231.39,483173.63,0,0
1,TRANSFER,2441078.3,C1864007931,0.0,0.0,C667346055,8996943.02,10695480.59,0,0
1,PAYMENT,1035.36,C806813022,71636.0,70600.64,M902860396,0.0,0.0,0,0
1,DEBIT,6606.47,C108982313,1862.0,0.0,C1870252780,18868.96,46462.23,0,0
1,CASH_OUT,251241.14,C1636178473,25534.61,0.0,C997608398,523053.03,157982.12,0,0
1,PAYMENT,12121.5,C1544078442,97058.0,84936.5,M1291367132,0.0,0.0,0,0
1,PAYMENT,3943.17,C2044337856,36786.34,32843.16,M435914790,0.0,0.0,0,0
1,PAYMENT,5086.48,C598357562,0.0,0.0,M1593224710,0.0,0.0,0,0
1,TRANSFER,138857.19,C1947941827,109473.0,0.0,C1789550256,1027402.57,4619798.56,0,0
1,PAYMENT,5570.5,C2121317689,1362013.43,1356442.93,M15094126,0.0,0.0,0,0
1,TRANSFER,424141.36,C1366722422,0.0,0.0,C2083562754,763134.49,1186556.81,0,0
1,PAYMENT,8361.63,C1832284192,1033187.17,1024825.54,M1917161212,0.0,0.0,0,0
1,CASH_OUT,48252.82,C1818747191,0.0,0.0,C451111351,1889037.69,3940085.21,0,0
1,TRANSFER,70543.76,C1964926542,80351.55,9807.8,C997608398,1061097.67,157982.12,0,0
1,PAYMENT,2092.06,C1786040872,53336.0,51243.94,M882706486,0.0,0.0,0,0
1,TRANSFER,20128.0,C137533655,20128.0,0.0,C1848415041,0.0,0.0,1,0
1,CASH_OUT,2806.0,C2101527076,2806.0,0.0,C1007251739,26202.0,0.0,1,0
